date,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
Cataluña,0,0,0,0,0,0,0,0,0,0,0,1,4,5,,18,20,25,35,41,52,74,65,92,98,312,449,551,658,781,1021,1187,1324,1391,1512,1652,1769,1855,2053,2108,2249,2276,2391,2442,2507,2582,2629,2658,2713,2775,,,,,,
Cat-sin-Igua,0,0,0,0,0,0,0,0,0,0,0,1,4,5,,18,20,25,32,37,49,66,59,85,91,306,443,545,,,993,,,,,,,,,,,,,,,,,,,,,,,,,
Igualada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,6,7,7,6,6,6,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,0,0,0,0,0,0,0,0,0,0,0,1,4,5,,18,20,25,32,36,48,63,50,58,53,260,378,468,,,828,,,,,,,,,,,,,,,,,,,,,,,,,
Girona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,15,21,26,38,49,61,68,81,86,104,106,106,97,98,108,106,105,96,90,,,,,,,,,,,,
Central-sin-Igua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,18,22,26,29,34,41,45,45,43,47,44,47,51,53,60,,,,,,,,,,,,,,
Lleida-Pir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,9,14,12,22,27,34,37,40,43,45,47,52,52,53,52,52,50,50,49,,,,,,,,,,,,
Tarragona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,7,11,16,24,29,33,41,47,52,57,62,52,62,64,64,67,66,65,65,,,,,,,,,,,,
Ebre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,7,8,8,8,8,8,9,8,8,9,8,9,9,9,10,,,,,,,,,,,,
Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,9,12,15,17,21,24,,,57,,,,,,,,,,,,,,,,,,,,,,,,,
