date,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
Cataluña,0,1,2,3,4,6,12,16,17,23,27,32,35,64,87,111,166,301,491,697,903,1394,1866,2702,3270,4203,4704,5925,7864,9937,11592,12940,14263,15026,16157,18773,19991,21804,23460,24734,26032,26824,28323,29647,31043,31727,32984,34027,34726,35197,,,,,,
Cat-sin-Igua,0,1,2,3,4,6,12,16,17,23,27,32,35,64,82,91,146,252,424,627,833,1309,1778,2495,3063,3994,4484,5697,7572,9631,11260,12545,13755,14493,15597,18187,19402,21196,22832,24090,25368,26140,,,,,,,,,,,,,,
Igualada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,20,49,67,70,70,85,88,207,207,209,220,228,292,306,332,395,508,533,560,586,589,608,628,644,664,684,,,,,,,,,,,,,,
Barcelona,,,,,,,,,,,,,,,,,,,,,,,1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girona,0,0,0,0,0,1,3,4,5,6,7,8,10,12,14,16,21,24,32,35,48,65,103,134,181,222,256,360,543,706,877,919,969,683,742,808,988,1180,1300,1450,1608,1731,1771,1844,,,,,,,,,,,,
Central-sin-Igua,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lleida-Pir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,17,26,34,36,41,51,66,78,109,149,163,201,259,319,389,494,604,680,752,825,897,961,991,1037,1063,1098,1123,,,,,,,,,,,,
Tarragona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,14,20,28,34,43,77,99,128,163,195,231,296,336,414,487,562,591,637,729,805,840,900,977,1029,,,,,,,,,,,,
Ebre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,13,14,16,22,24,26,28,33,41,57,68,77,87,94,97,103,108,111,112,118,121,123,,,,,,,,,,,,
Central,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
