date,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Cat-sin-Igua,1,4,5,,18,19,23,32,37,49,66,59,85,91,306
Igualada,,,,,,,,3,4,3,8,6,7,7,6
Barcelona,1,4,5,,18,19,23,31,33,42,54,40,55,53,260
Girona,,,,,,,,,,,,,10,13,15
Central-sin-Igua,,,,,,,,,,,2,3,5,8,11
Lleida-Pir,,,,,,,,,,,,4,8,7,9
Tarragona,,,,,,,,,1,1,1,2,4,6,7
Ebre,,,,,,,,,,,,,,4,4
Igualada-ext,,,,,,1,2,3,,,,,,,
Girona-ext,,,,,,,,1,2,3,5,8,10,,
Central-sin-Igua-ext,,,,,,,,,,1,2,,,,
Lleida-Pir-ext,,,,,,,,,1,2,3,4,,,
Ebre-ext,,,,,,,,,,,1,2,3,4,
Cat-sin-Igua-ext,,,,16,18,,,,,,66,78,85,,
Cat-sin-Igua-ext2,,,5,6,,,,,,,,,,,
Cataluña,1,4,5,,18,20,25,35,41,52,74,65,92,98,312
