day,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,
Cataluna,,,,,,,,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,2390,2513,2630,2771,2898,3000,3079,3174,,,,,,,,,,,,,,,
Cat-sin-Igua,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,2390,2513,2630,2771,2898,3000,3079,3174,,,,,,,,,,,,,,,
mid,,,,,,,15.2,25.2,40.8,64.5,99.5,149.9,220.7,317.4,445.7,611.2,818.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,,854.4,1008.2,1176.4,1357.4,1548.7,1747.4,1949.6,2151,2346.8,2531.8,2701.1,2849.5,2972.6,3066.5,3128.2,3155.5,,,,,,,,,,,,,,,
soften,,,,,,,,17,25.2,36.5,61.7,102.6,134.1,190.8,299.1,396,522.6,637.8,733.5,848.7,1010.6,1117,1256.1,1402.8,1504.8,1582.3,1655.9,1744.7,1824.7,1888.9,1938.6,1998.4,,,,,,,,,,,,,,,
low-4d,2.8,3.1,3.4,3.8,4.5,5.4,6.6,8.4,11,14.8,20.5,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low-4d_interp,,,,,,,,,,,,29.3,47.4,74.7,114.2,169.5,244.2,300.4,364.2,435.6,513.7,597.3,684.9,774.5,863.6,949.5,1029.5,1100.7,1160.5,1206.5,1236.9,1250.4,,,,,,,,,,,,,,,
Valencia,,,,,4,5,5,13,22,24,33,50,69,94,115,143,167,198,234,267,310,339,395,443,511,571,613,637,672,724,767,796,818,838,876,907,945,972,999,,,,,,,,
Euskadi,,,,,5,6,6,8,12,18,23,36,40,53,71,85,97,120,133,155,180,207,241,265,297,325,369,412,444,477,515,548,586,635,689,729,765,804,831,,,,,,,,
Andalucia,,,,,,,6,7,11,19,23,30,40,47,55,58,87,113,134,144,175,207,236,248,308,343,376,426,470,491,528,605,652,691,737,799,815,836,865,912,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deaths cat,3,5,6,6,8,12,18,41,55,82,122,191,245,339,516,672,880,1070,1226,1410,1672,1849,2093,2335,2508,2637,2760,2908,3041,3148,3231,3331,3442,3538,3666,3756,3855,4056,4123,4336,4576,4904,5080,5290,5396,5558,5613
