day,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,,,,,,,,,,,,,,,,,,,,
Catalu–a,,,,,,,,,,,,,,,,,,,,,,,,2335,2508,2637,2760,2908,3041,3148,3231,3331,3442,3538,3666,3756,3855,4056,4123,4336,4576,4904,5080,5290,5396,5558,5613,5685,5769,5835,5897,5952,5987,,,,,,,,,,,,,,,,,,,,
Cat-sin-Igua,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflag,,,,,,,15.22288671,25.21653676,40.79665122,64.46355337,99.48431564,149.9497143,220.7431923,317.3800653,445.6794626,611.2463076,818.7673684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norm,,,,,,,,,,,,,,,,,805.8519171,981.6158104,1174.385135,1379.946487,1592.563084,1805.15186,2009.618134,2197.33381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conf,,,,,,,,,,,,,,,,,,,,,,,,2244.639033,2380.581346,2514.677893,2645.723918,2772.486916,2893.725352,3008.208507,3114.737008,3212.163575,3299.413486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,,,,,,,,17,25.18518519,36.51851852,61.7037037,102.6296296,134.1111111,190.7777778,299.0740741,396.037037,522.5925926,637.8148148,733.5185185,848.7407407,1010.555556,1116.962963,1256.111111,1402.814815,1506.703704,1584.148148,1657.814815,1746.592593,1826.555556,1890.777778,1940.518519,2000.333333,2067.074074,2125,2201.814815,2255.962963,2315.148148,2436.037037,2476.333333,2604.148148,2748.333333,2945.407407,3051.185185,3177.111111,3240.703704,3338.296296,3371.037037,3414.481481,3464.851852,3504.518519,3541.666667,3574.407407,3595.185185,,,,,,,,,,,,,,,,,,,,
low-4d,2.844251671,3.050178154,3.365242413,3.81980739,4.460674555,5.359121166,6.624003861,8.423285887,11.01986992,14.83219269,20.5384759,29.25937397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low-4_interp-real,,,,,,,,,,,,29.25937397,40.33624151,61.57027009,105.6020225,147.9178818,206.3163355,262.0422012,309.9067353,369.2051711,455.2080657,513.3153402,590.9780961,674.7425969,735.1418432,780.7152607,824.4815384,877.7435618,926.1837971,965.3977964,995.9535083,1032.905434,1074.397437,1110.627537,1158.976589,1193.262725,1230.926894,1308.453762,1334.469463,1417.543976,1512.240978,1643.282255,1714.351992,1799.60255,1842.913309,1909.710661,1932.208306,1962.128427,1996.913808,2024.378643,2050.156133,2072.920171,2087.38825,,,,,,,,,,,,,,,,,,,,
Andalucia,,,,,,,6,7,11,19,23,30,40,47,58,87,113,134,144,175,207,236,248,308,343,376,426,470,491,528,605,652,691,737,799,815,836,865,912,940,967,993,1013,1017,1050,1079,1107,1131,1145,1157,1168,1188,1207,1238,1253,,,,,,,,,,,,,,,,,,
