day,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
values,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,2390,2513,2630,2771,2898,3000,3079,3174
mid,,,,,,,15.2,25.2,40.8,64.5,99.5,149.9,220.7,317.4,445.7,611.2,818.8,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,,854.4,1008.2,1176.4,1357.4,1548.7,1747.4,1949.6,2151.0,2346.8,2531.8,2701.1,2849.5,2972.6,3066.5,3128.2,3155.5
soften,,,,,,,,17.0,25.2,36.5,61.7,102.6,134.1,190.8,299.1,396.0,522.6,637.8,733.5,848.7,1010.6,1117.0,1256.1,1402.8,1504.8,1582.3,1655.9,1744.7,1824.7,1888.9,1938.6,1998.4
low-4d,2.8,3.1,3.4,3.8,4.5,5.4,6.6,8.4,11.0,14.8,20.5,29.3,,,,,,,,,,,,,,,,,,,,
low-4d_interp,,,,,,,,,,,,29.3,47.4,74.7,114.2,169.5,244.2,300.4,364.2,435.6,513.7,597.3,684.9,774.5,863.6,949.5,1029.5,1100.7,1160.5,1206.5,1236.9,1250.4
mid_function,-0.0118,0.4929,3.2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_function,-0.0056,0.2719,4.7569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low-4d_function,0.0142,0.2545,2.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
