date,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,14,18,24,28,35,43,54,64,68,79,103,113,134,147,152,160,,,,,,,,,,,,,,
cases,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,18,22,26,29,34,41,45,45,43,47,44,47,51,53,60,,,,,,,,,,,,,,
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deaths_Bages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,9,12,17,23,31,38,39,45,62,63,71,80,82,89,90,100,,,,,,,,,,,,
deaths_Osones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,10,13,14,16,18,20,23,26,30,35,43,53,56,58,59,,,,,,,,,,,,,,
deaths_Bergueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,4,6,7,10,11,12,12,19,20,,,,,,,,,,,,
ICU_Bages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,3,4,6,7,9,12,15,19,25,28,27,26,30,26,27,30,31,36,,,,,,,,,,,,,,
ICU_Osones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,11,13,14,14,15,16,17,18,17,17,18,20,21,22,24,,,,,,,,,,,,,,
source_Bages,,,,,,,,,,,,,,,,,,,,,,,https://www.naciodigital.cat/naciosolsona/noticia/32418/hospital/sant/joan/deu/manresa/ja/te/10/persones/ingressades/coronavirus,,https://www.naciodigital.cat/manresa/noticia/89645/fins/26/positius/coronavirus/quarantena/pendents/resultat/ingressats/sant/joan/deu,https://www.naciodigital.cat/manresa/noticia/89679/sant/joan/deu/ja/te/80/persones/ingressades/entre/positius/coronavirus/pendents/resultat,https://www.naciodigital.cat/manresa/noticia/89695/althaia/confirma/mort/pacients/coronavirus/ultims/dies/sant/joan/deu,https://www.naciodigital.cat/manresa/noticia/89711/es/dispara/fins/77/total/ingressats/amb/coronavirus/sant/joan/deu,https://www.naciodigital.cat/manresa/noticia/89749/sant/joan/deu/registra/noves/morts/coronavirus/ultimes/24/hores,,,https://www.naciodigital.cat/manresa/noticia/89813/moren/persones/mes/coronavirus/sant/joan/deu/ultimes/24/hores,https://www.naciodigital.cat/manresa/noticia/89842/vuit/noves/morts/coronavirus/manresa/fan/pujar/total/fins/31/defuncions,https://www.naciodigital.cat/manresa/noticia/89850/moren/coronavirus/dos/avis/residencia/sant/joan/tercer/mor/sense/tenir/resultat/test,,https://www.naciodigital.cat/manresa/noticia/89911/morts/coronavirus/manresa/enfilen/fins/45/ingressats/positius/arriben/214/pacients,https://www.naciodigital.cat/manresa/noticia/89947/ja/mort/62/persones/coronavirus/manresa/ingressats/positius/es/disparen/fins/264,https://www.naciodigital.cat/manresa/noticia/89979/manresa/te/283/persones/ingressades/amb/coronavirus/donat/21/altes/24/hores?rlc=sf,,https://www.naciodigital.cat/manresa/noticia/90037/hospitals/manresa/ja/acumulen/80/morts/coronavirus/278/ingressats,https://www.naciodigital.cat/manresa/noticia/90060/hospital/sant/andreu/registra/morts/coronavirus/aquest/dissabte/suma/total/manresa/puja/82,,https://www.naciodigital.cat/manresa/noticia/90097/hospitals/manresa/sumen/41/noves/altes/deces/coronavirus/ultimes/24/hores,https://www.naciodigital.cat/manresa/noticia/90128/hospitals/manresa/arriben/100/defuncions/coronavirus/des/inici/pandemia,,,,,,,,,,,,
source__Osones,,,,,,,,,,,,,,,,,,,,,,https://www.naciodigital.cat/osona/noticia/62689/casos/coronavirus/osona/enfilen/set,https://www.naciodigital.cat/osona/noticia/62704/primer/mort/coronavirus/osona,,,https://www.naciodigital.cat/osona/noticia/62724/cinc/morts/seixantena/infectats/coronavirus/osona,,,https://www.naciodigital.cat/osona/noticia/62741/tretze/persones/mort/coronavirus/osona,https://www.naciodigital.cat/osona/noticia/62752/primer/mort/coronavirus/torello,,https://www.naciodigital.cat/osona/noticia/62762/morts/coronavirus/osona/enfilen/18,,,https://www.naciodigital.cat/osona/noticia/62792/osona/registra/26/morts/coronavirus,,https://www.naciodigital.cat/osona/noticia/62818/eleven/35/morts/coronavirus/osona,,https://www.naciodigital.cat/osona/noticia/62839/morts/coronavirus/es/disparen/osona/ja/superen/cinquantena,,,https://www.naciodigital.cat/osona/noticia/62864/coronavirus/osona/59/morts/533/infectats,,,,,,,,,,,,,,
source__Bergueda,,,,,,,,,,,,,,,,,,,,,,https://www.naciodigital.cat/osona/noticia/62699/confirmen/tres/casos/coronavirus/calldetenes?rlc=p1,,,https://www.naciodigital.cat/bergueda/noticia/19523/hospital/berga/confirma/10/casos/positius/coronavirus/quatre/pacients/sis/sanitaris,,https://www.naciodigital.cat/bergueda/noticia/19552/primer/mort/coronavirus/al/bergueda,https://www.naciodigital.cat/bergueda/noticia/19558/dos/morts/coronavirus/hospital/berga,,https://www.naciodigital.cat/bergueda/noticia/19591/hospital/berga/confirma/36/positius/coronavirus/18/pacients/ingressats/18/sanitaris/aillats,,https://www.naciodigital.cat/bergueda/noticia/19627/total/casos/confirmats/coronavirus/hospital/berga/eleva/45,,,,https://www.naciodigital.cat/bergueda/noticia/19697/dues/noves/morts/coronavirus/hospital/berga,,https://www.naciodigital.cat/bergueda/noticia/19721/eleven/morts/coronavirus/hospital/berga,https://www.naciodigital.cat/bergueda/noticia/19745/tres/morts/mes/coronavirus/hospital/sant/bernabe,https://www.naciodigital.cat/bergueda/noticia/19759/ja/11/morts/coronavirus/hospital/berga/se/sumen/vintena/altes/des/inici/crisi,,,https://www.naciodigital.cat/bergueda/noticia/19793/hospital/sant/bernabe/berga/confirma/set/nou/morts/coronavirus/ultimes/hores,https://www.naciodigital.cat/bergueda/noticia/19816/grafic/vuit/altes/nova/defuncio/hospital/sant/bernabe/berga,,,,,,,,,,,,
