country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Cataluña,3,5,6,6,8,12,18,41,55,82,122,191,245,339,516,672,880,1070,1226,1410,1672,1849,2093,2335,2508,2637,2760,2908,3041
Cat-sin-Igua,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,2390,2509,2622,,
Igualada,3,7,12,14,15,24,24,28,32,36,41,43,50,57,61,62,67,75,98,107,118,128,138,,,,,,
Barcelona,3,3,3,5,5,6,23,32,45,80,132,172,238,397,528,701,849,981,1144,1361,1479,1648,1838,1947,2043,2132,,,
Girona,,1,1,2,4,11,14,28,32,37,46,56,59,66,83,96,119,128,144,157,167,181,199,,,,,,
Central-sin-Igua,1,4,6,9,14,18,24,28,35,43,54,64,68,79,103,113,134,147,152,160,,,,,,,,,
Lleida-Pir,3,3,3,5,8,13,20,27,36,40,44,50,55,62,69,75,79,80,82,86,,,,,,,,,
Tarragona,4,4,8,11,16,19,24,28,36,48,52,69,69,74,78,87,,,,,,,,,,,,,
Ebre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,3,3,3,7,12,15,19,30,33,42,50,60,69,78,93,111,125,130,146,178,211,241,265,280,298,,,,
