date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cat-sin-Igua,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013,1165,1348,1605,1774,1995,2228,2390,2513,2630,2771,2898,3000,3079,3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat-sin-Igua_mid,,,,,,,15.2,25.2,40.8,64.5,99.5,149.9,220.7,317.4,445.7,611.2,818.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat-sin-Igua_high,,,,,,,,,,,,,,,,,854.4,1008.2,1176.4,1357.4,1548.7,1747.4,1949.6,2151.0,2346.8,2531.8,2701.1,2849.5,2972.6,3066.5,3128.2,3155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat-sin-Igua_low-4d,2.8,3.1,3.4,3.8,4.5,5.4,6.6,8.4,11.0,14.8,20.5,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombardia,,,,,,,,,,,,,,,,2,6,8,9,14,17,23,24,38,55,73,98,135,154,267,333,468,617,744,890,966,1218,1420,1640,1959,2168,2549,3095,3456,3776,4178,4474,4861,,,,,,,,,,,,,
Lombardia_mid,,,,,,,,,,,,,,,,3.1,4.4,6.3,8.8,12.3,17,23.2,31.4,42,55.7,73,94.9,122,155.4,195.8,244.4,302,369.5,447.5,536.6,637.1,748.8,871.4,1004,1145.2,1293.2,1445.9,1600.5,1754.1,1903.2,2044.5,2174.4,2289.5,,,,,,,,,,,,,
Lombardia_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3,221.2,283.2,359.1,451.2,561.8,693.1,847.3,1026.2,1231.5,1464.4,1725.4,2014.2,2329.9,2670.4,3032.7,3412.5,3804.7,4203.2,4600.9,4990,,,,,,,,,,,,,
Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,8,16,21,32,56,81,136,213,280,355,390,498,628,804,1021,1263,1535,1825,2090,2412,2757,3082,3392,3603,3865,4175,4483,4723,4941
Madrid_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.0,7.4,13.2,22.6,37.3,59.2,90.4,132.8,188.0,256.2,336.1,424.4,,,,,,,,,,,,,,,,,,
Madrid_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.6,541.7,679.8,842.9,1032.6,1249.9,1494.9,1766.6,2062.8,2379.9,2713.0,3055.8,3400.9,3739.8,4063.5,4362.5,4627.6,4850.3,5023.1
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283,1447,1632,2035
Belgium_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.7,6.1,9.6,14.8,22.5,33.5,48.7,69.4,96.9,132.4,177.2,232.1,297.8,374.2,460.3,554.5,654.1,,,,,,,
Belgium_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.9,798.7,947.1,1115.2,1304.0,1514.1,1745.9,1999.0
Occitanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,10,17,23,27,30,32,40,45,54,61,67,72
Occitanie_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,5.5,10.2,16.4,22.9,27.9,29.5,,,,,,,
Occitanie_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,33.7,39.1,45.1,51.8,59.1,67.1,75.8
