date,grow_%,min,max
Cat-sin-Igua (40 a 1165),2812,40,1165
Cataluña (41 a 1070),2510,41,1070
Barcelona (45 a 1144),2442,45,1144
Spain (54 a 1375),2446,54,1375
New York City (57 a 1377),2315,57,1377
Spain-sin-Mad-Cat (42 a 879),1992,42,879
Italy (41 a 827),1917,41,827
Madrid  (56 a 1021),1723,56,1021
Lombardia (55 a 890),1518,55,890
Netherlands (43 a 546),1170,43,546
Germany (44 a 533),1111,44,533
China-Hubei (40 a 479),1098,40,479
Italy_sin-Lom (50 a 591),1082,50,591
France (48 a 562),1071,48,562
London (47 a 532),1032,47,532
Belgium (67 a 705),952,67,705
United Kingdom (55 a 578),951,55,578
255 countries < 950%,950,40,420
US (40 a 417),943,40,417
Turkey (44 a 425),866,44,425
Sweden,795,40,358
Brazil,680,46,359
Switzerland,598,43,300
Iran,577,43,291
Occitanie,233,40,133
Algeria,482,44,256
Argentina,137,43,102
Austria,316,49,204
Bangladesh,-100,46,
Canada-Ontario,417,53,274
Canada-Quebec,490,61,360
Chile,170,43,116
Colombia,213,46,144
Czechia,214,44,138
Denmark,337,41,179
Dominican Republic,181,42,118
Ecuador,298,48,191
Egypt,158,40,103
Finland,125,40,90
Greece,89,46,87
Hungary,232,47,156
India,397,58,288
Indonesia,227,48,157
Ireland,411,46,235
Israel,190,40,116
Japan,39,41,57
Korea South,79,42,75
Mexico,492,50,296
Morocco,168,44,118
Norway,170,44,119
Pakistan,133,40,93
Panama,129,41,94
Peru,251,55,193
Philippines,238,45,152
Poland,384,43,208
Portugal,519,43,266
Romania,412,43,220
Russia,295,43,170
Saudi Arabia,112,41,87
Serbia,114,44,94
Ukraine,178,45,125
