date,grow_%,min,max,10
Cat-sin-Igua,6470,27,1774,1013
Cataluí±a,4410,41,1849,1070
Spain,6654,54,3647,1375
Italy,4312,41,1809,827
Madrid,3632,56,2090,1021
Lombardia,2882,55,1640,890
Netherlands,2316,43,1039,546
Germany,2416,44,1107,533
France,2673,48,1331,562
China-Hubei,1850,40,780,479
Belgium,1815,67,1283,705
United Kingdom,2460,55,1408,578
US,2923,40,1209,417
Turkey,1548,44,725,425
Occitanie,353,40,181,133
Algeria,641,44,326,256
Argentina,200,43,129,102
Austria,502,49,295,204
Bangladesh,-100,46,,
Brazil,1391,46,686,359
Canada-Ontario,825,53,490,274
Canada-Quebec,1028,61,688,360
Chile,-100,43,,116
Colombia,311,46,189,144
Czechia,284,44,169,138
Denmark,478,41,237,179
Dominican Republic,321,42,177,118
Ecuador,556,48,315,191
Egypt,298,40,159,103
Finland,-100,40,,90
Greece,115,46,99,87
Hungary,-100,47,,156
India,598,58,405,288
Indonesia,313,48,198,157
Iran,1321,43,611,291
Ireland,626,46,334,235
Israel,278,40,151,116
Japan,88,41,77,57
Korea South,117,42,91,75
Mexico,872,50,486,296
Morocco,195,44,130,118
Norway,241,44,150,119
Pakistan,238,40,135,93
Panama,183,41,116,94
Peru,398,55,274,193
Philippines,351,45,203,152
Poland,565,43,286,208
Portugal,784,43,380,266
Romania,635,43,316,220
Russia,628,43,313,170
Saudi Arabia,-100,41,,87
Serbia,166,44,117,94
Sweden,1378,40,591,358
Switzerland,1147,43,536,300
Ukraine,-100,45,,125
