date,0,1,2,3,4,5,6,7,8,9,10
Cataluña,41,55,82,122,191,245,339,516,672,880,1070
Cat-sin-Igua,27,40,58,98,163,213,303,475,629,830,1013
Algeria,29,31,35,44,58,86,105,130,152,173,193
Argentina,27,28,36,39,43,44,48,56,63,72,82
Austria,28,30,49,58,68,86,108,128,146,158,168
Bangladesh,27,30,34,39,46,50,60,75,84,91,101
Belgium,37,67,75,88,122,178,220,289,353,431,513
Brazil,34,46,59,77,92,111,136,159,201,240,324
Canada-Ontario,31,33,37,53,67,94,119,150,153,153,200
Canada-Quebec,31,33,36,61,75,94,121,150,175,216,241
Chile,27,34,37,43,48,57,65,73,80,82,92
China-Hubei,40,52,76,125,125,162,204,249,350,414,479
Colombia,32,35,46,50,54,69,80,100,109,112,127
Czechia,31,39,44,53,59,67,78,88,99,112,119
Denmark,32,34,41,52,65,72,77,90,104,123,139
Dominican Republic,28,39,42,51,57,60,68,68,82,86,98
Ecuador,27,28,34,36,48,58,60,75,93,120,145
Egypt,30,36,40,41,46,52,58,66,71,78,85
Finland,28,27,34,40,42,48,49,56,59,64,72
France,30,33,48,61,79,91,127,148,175,244,372
Germany,28,44,67,84,94,123,157,206,267,342,433
Greece,27,28,32,39,46,49,51,53,63,68,73
Hungary,32,34,38,47,58,66,77,85,99,109,122
India,27,32,35,58,72,72,86,99,136,150,178
Indonesia,32,38,48,49,55,58,78,87,102,114,122
Iran,34,43,54,66,77,92,107,124,145,194,237
Ireland,36,46,54,71,85,98,120,137,158,174,210
Israel,36,40,44,49,57,65,73,86,95,101,103
Italy,29,41,52,79,107,148,197,233,366,463,631
Japan,27,29,29,29,33,35,41,42,43,45,47
Korea South,28,32,35,42,43,48,50,53,54,60,66
Mexico,28,29,37,50,60,79,94,125,141,174,194
Morocco,33,36,39,44,48,59,70,80,90,93,97
Netherlands,43,58,76,106,136,179,213,276,356,434,546
Norway,32,39,44,50,59,62,71,76,89,101,108
Pakistan,27,34,40,41,47,53,57,61,65,66,86
Panama,30,30,32,37,41,46,54,55,59,63,66
Peru,30,38,55,61,73,83,92,107,121,138,169
Philippines,33,35,38,45,54,68,71,78,88,96,107
Poland,31,33,43,57,71,79,94,107,129,159,174
Portugal,33,43,60,76,100,119,140,160,187,209,246
Romania,37,43,65,82,92,115,133,146,151,176,197
Russia,30,34,43,45,47,58,63,76,94,106,130
Saudi Arabia,29,34,38,41,41,44,47,52,59,65,73
Serbia,28,31,39,44,51,58,61,65,66,71,74
Spain,28,35,54,84,133,195,289,342,533,623,830
Sweden,27,40,62,77,105,105,110,146,180,239,308
Switzerland,27,33,43,56,80,98,120,122,153,191,231
Turkey,30,37,44,59,75,92,108,131,168,214,277
Ukraine,27,32,37,38,45,52,57,69,73,83,93
United Kingdom,35,55,71,104,144,177,233,281,335,422,465
US,28,36,40,47,54,63,85,108,118,200,244
US-New York City,32,57,84,134,180,232,328,433,573,798,1050
