date,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Cataluña,3,5,6,6,8,12,18,41,55,82,122,191,245,339,516,672,880,1070
Cat-sin-Igua,3,3,3,3,5,5,6,27,40,58,98,163,213,303,475,629,830,1013
Madrid,,1,2,4,8,16,21,32,56,81,136,213,280,355,390,498,628,804
Lombardia,6,8,9,14,17,23,24,38,55,73,98,135,154,267,333,468,617,744
Occitanie,,1,3,5,10,17,23,27,30,32,40,45,54,61,67,72,81,88
Algeria,15,17,17,19,21,25,26,29,31,35,44,58,86,105,130,152,173,193
Argentina,6,8,9,13,18,19,23,27,28,36,39,43,44,48,56,63,72,82
Austria,3,4,6,6,8,16,21,28,30,49,58,68,86,108,128,146,158,168
Bangladesh,6,8,9,12,17,20,21,27,30,34,39,46,50,60,75,84,91,101
Belgium,3,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513
Brazil,,1,3,6,11,15,25,34,46,59,77,92,111,136,159,201,240,324
Canada-Ontario,6,7,8,13,18,18,21,31,33,37,53,67,94,119,150,153,153,200
Canada-Quebec,4,6,8,18,22,22,25,31,33,36,61,75,94,121,150,175,216,241
Chile,6,7,8,12,16,18,22,27,34,37,43,48,57,65,73,80,82,92
China-Hubei,,,,,17,17,24,40,52,76,125,125,162,204,249,350,414,479
Colombia,6,10,12,16,17,19,25,32,35,46,50,54,69,80,100,109,112,127
Czechia,3,6,9,9,11,16,23,31,39,44,53,59,67,78,88,99,112,119
Denmark,4,4,6,9,13,13,24,32,34,41,52,65,72,77,90,104,123,139
Dominican Republic,2,3,3,6,10,10,20,28,39,42,51,57,60,68,68,82,86,98
Ecuador,2,2,3,5,7,14,18,27,28,34,36,48,58,60,75,93,120,145
Egypt,8,10,14,19,20,21,24,30,36,40,41,46,52,58,66,71,78,85
Finland,11,13,17,17,19,20,25,28,27,34,40,42,48,49,56,59,64,72
France,3,4,4,6,9,11,19,30,33,48,61,79,91,127,148,175,244,372
Germany,3,3,7,9,11,17,24,28,44,67,84,94,123,157,206,267,342,433
Greece,6,10,13,15,17,20,22,27,28,32,39,46,49,51,53,63,68,73
Hungary,11,13,15,16,20,21,26,32,34,38,47,58,66,77,85,99,109,122
India,7,10,10,12,20,20,24,27,32,35,58,72,72,86,99,136,150,178
Indonesia,4,5,5,5,7,19,25,32,38,48,49,55,58,78,87,102,114,122
Iran,4,5,8,12,16,19,26,34,43,54,66,77,92,107,124,145,194,237
Ireland,3,4,6,7,9,19,22,36,46,54,71,85,98,120,137,158,174,210
Israel,8,12,12,15,16,20,26,36,40,44,49,57,65,73,86,95,101,103
Italy,2,3,7,11,12,17,21,29,41,52,79,107,148,197,233,366,463,631
Japan,10,10,15,16,19,22,22,27,29,29,29,33,35,41,42,43,45,47
Korea South,11,12,13,13,16,17,21,28,32,35,42,43,48,50,53,54,60,66
Mexico,4,5,6,8,12,16,20,28,29,37,50,60,79,94,125,141,174,194
Morocco,4,5,6,11,23,25,26,33,36,39,44,48,59,70,80,90,93,97
Netherlands,4,5,5,10,12,20,24,43,58,76,106,136,179,213,276,356,434,546
Norway,10,12,14,14,19,23,25,32,39,44,50,59,62,71,76,89,101,108
Pakistan,8,9,11,12,14,21,26,27,34,40,41,47,53,57,61,65,66,86
Panama,6,8,8,9,14,17,24,30,30,32,37,41,46,54,55,59,63,66
Peru,7,9,9,11,16,18,24,30,38,55,61,73,83,92,107,121,138,169
Philippines,12,14,17,17,18,19,25,33,35,38,45,54,68,71,78,88,96,107
Poland,8,10,14,16,16,18,22,31,33,43,57,71,79,94,107,129,159,174
Portugal,1,2,3,6,12,14,23,33,43,60,76,100,119,140,160,187,209,246
Romania,,3,7,11,17,23,26,37,43,65,82,92,115,133,146,151,176,197
Russia,3,4,4,8,9,17,24,30,34,43,45,47,58,63,76,94,106,130
Saudi Arabia,4,8,8,10,16,21,25,29,34,38,41,41,44,47,52,59,65,73
Serbia,4,7,8,10,13,16,23,28,31,39,44,51,58,61,65,66,71,74
Spain,,1,2,3,5,10,17,28,35,54,84,133,195,289,342,533,623,830
Sweden,7,8,10,11,16,20,21,27,40,62,77,105,105,110,146,180,239,308
Switzerland,3,4,7,11,13,14,19,27,33,43,56,80,98,120,122,153,191,231
Turkey,,,1,2,4,9,21,30,37,44,59,75,92,108,131,168,214,277
Ukraine,5,9,10,13,17,20,22,27,32,37,38,45,52,57,69,73,83,93
United Kingdom,3,5,6,8,10,11,21,35,55,71,104,144,177,233,281,335,422,465
US,7,11,12,14,17,21,22,28,36,40,47,54,63,85,108,118,200,244
