date,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Cataluña,0,49.1,48.8,56.6,28.3,38.4,52.2,30.2,31,21.6,14.6,15,18.6,10.6,13.2
Cat-sin-Igua,0,45,69,66.3,30.7,42.3,56.8,32.4,32,22,15,15.7,19.1,10.5,12.5
Madrid,0,67.9,56.6,31.5,26.8,9.9,27.7,26.1,28,27,23.7,21.5,18.9,14.5,15.4
Lombardia,0,34.2,37.8,14.1,73.4,24.7,40.5,31.8,20.6,19.6,8.5,26.1,16.6,15.5,19.5
Occitanie,0,20,13,9.8,7.5,12.5,8.6,20.5,13.2,10.8,12,6,8.9,5.2,7.7
Algeria,0,48.3,22.1,23.8,16.9,13.8,11.6,6.2,14.6,8.9,7.4,6.5,6.8,4.2,3.1
Argentina,0,9.1,16.7,12.5,14.3,13.9,1.2,8.4,7.8,5.2,8.8,3.6,7,4.9,2.3
Austria,0,17.2,26.5,25.6,18.5,14.1,8.2,6.3,10.7,9.7,7.8,10.5,12.3,8.1,8.1
Bangladesh,0,20,25,12,8.3,11,,,,,,,,,
Belgium,0,17.3,38.6,45.9,23.6,31.4,22.1,22.1,19,37.4,17.4,22.1,13.1,12.2,12.8
Brazil,0,30.5,19.5,20.7,22.5,16.9,26.4,19.4,35,10.8,24,9.2,16,21.6,19.4
Canada-Ontario,0,40.3,26.6,26.1,2,0,30.7,11,14,8.3,6.2,14.8,15.3,27.3,6.9
Canada-Quebec,0,25.3,28.7,24,16.7,23.4,11.6,19.9,13.5,9.8,20.8,12,29.4,9.2,0
Chile,0,18.8,14,12.3,9.6,2.5,12.2,2.2,11.7,10.5,8.6,5.6,4.5,,
China-Hubei,0,46.2,64.5,0,29.6,25.9,22.1,40.6,18.3,15.7,14.6,12.6,13.1,11.6,11.7
Colombia,0,8,27.8,15.9,25,9,2.8,13.4,3.1,9.9,6.3,0,17,5.6,
Czechia,0,11.3,13.6,16.4,12.8,12.5,13.1,6.3,8.4,7,3.6,12.6,3.1,1.8,2.4
Denmark,0,25,10.8,6.9,16.9,15.6,18.3,13,15.8,11.2,4.5,8.6,7.4,8.7,4.2
Dominican Republic,0,11.8,5.3,13.3,0,20.6,4.9,14,10.2,9.3,6.8,7.1,28.1,2.3,3.4
Ecuador,0,3.4,25,24,29,20.8,18.6,4.7,6.1,0,26.7,12.4,9.2,6.1,5.7
Egypt,0,12.2,13,11.5,13.8,7.6,9.9,9,10.6,9.6,14.6,14.4,8.1,8.9,3.1
Finland,0,14.3,2.1,14.3,5.4,8.5,12.5,4.2,9.3,9.8,4.4,4.3,,,
France,0,29.5,15.2,39.6,16.5,18.2,39.4,52.5,21,24.9,19.9,27.6,27.9,21,27.4
Germany,0,25.4,11.9,30.9,27.6,31.2,29.6,28.1,26.6,23.1,21,20.2,18.7,20.3,15.2
Greece,0,4.1,3.9,18.9,7.9,7.4,8.2,2.5,2.5,4.8,5.7,1.1,5.4,1,2
Hungary,0,13.8,16.7,10.4,16.5,10.1,11.9,9.8,6,9.9,10.3,9.9,5.3,,
India,0,0,19.4,15.1,37.4,10.3,18.7,27,8.8,17.1,14.9,8.2,9.8,3.1,10.6
Indonesia,0,12.2,5.5,34.5,11.5,17.2,11.8,7,11.5,15.4,8.3,6.5,5.5,3.7,5.6
Iran,0,22.2,16.7,19.5,16.3,15.9,16.9,33.8,22.2,22.8,21.6,21.2,19.8,18.9,18.5
Ireland,0,31.5,19.7,15.3,22.4,14.2,15.3,10.1,20.7,11.9,11.9,9.1,11.5,4.4,9.3
Israel,0,11.4,16.3,14,12.3,17.8,10.5,6.3,2,12.6,6,5.7,9.2,6.3,8.6
Italy,0,51.9,35.4,38.3,33.1,18.3,57.1,26.5,36.3,31.1,22.9,24.6,13.8,25.5,19.3
Japan,0,2.4,4.7,4.4,4.3,6.1,3.8,0,3.7,1.8,8.8,1.6,22.2,0,10.4
Korea South,0,11.6,4.2,6,1.9,11.1,10,0,9.1,4.2,0,8,3.7,8.3,3.3
Mexico,0,31.7,19,33,12.8,23.4,11.5,20.1,17.2,8.4,12.2,22.3,10.6,8.2,12.3
Morocco,0,22.9,18.6,14.3,12.5,3.3,4.3,10.3,3.7,6.3,6.8,0,0.8,2.4,3.8
Netherlands,0,31,39.5,28.3,31.6,19,29.6,29,21.9,25.8,17,20.7,12.1,20.3,12.9
Norway,0,18,5.1,14.5,7,17.1,13.5,6.9,4.6,5.3,7.6,4.7,3.7,7.9,1.3
Pakistan,0,14.6,12.8,7.5,7,6.6,1.5,30.3,5.8,2.2,3.2,15.6,15.3,5.5,5.9
Panama,0,17.4,1.9,7.3,6.8,4.8,12.1,6.8,10.1,8,1.1,8.4,5.8,6.4,3.4
Peru,0,19.7,13.7,10.8,16.3,13.1,14,22.5,7.1,6.6,11.9,6.5,10.4,7.9,9.5
Philippines,0,25.9,4.4,9.9,12.8,9.1,11.5,27.1,5.9,5.6,7.2,8.6,2.8,11.5,8.9
Poland,0,24.6,11.3,19,13.8,20.6,23.3,9.4,4,14.9,11.5,5.6,7.3,8.7,9.8
Portugal,0,26.7,31.6,19,17.6,14.3,16.9,11.8,17.7,8.1,10.9,5.4,10.9,10.1,7.6
Romania,0,26.2,12.2,25,15.7,9.8,3.4,16.6,11.9,11.7,12.7,8.9,7.8,8.6,4.7
Russia,0,4.4,23.4,8.6,20.6,23.7,12.8,22.6,13.8,14.9,16.5,17.2,17.7,14.7,15.3
Saudi Arabia,0,7.3,6.8,10.6,13.5,10.2,12.3,8.2,5.1,4.8,5.7,5.4,6.2,,
Serbia,0,13.7,5.2,6.6,1.5,7.6,4.2,8.1,6.3,10.6,5.3,4,6.8,6.4,4.3
