date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
infection-to-infection,,,1.2,9.3,18.5,20.5,16.5,12.5,8,5.5,3,2,1.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-death_65-75,,,,,,,,,,,,,,,0.1,0.4,1.1,2.7,4.9,6.9,8,8.3,8.1,7.8,7.2,6.6,6.1,5.6,5.1,4.5,3.9,3.3,2.8,2.2,1.6,1.1,0.7,0.4,0.3,0.1,0.1,0,0,0,,,,,,,
infection-to-death_75-85,,,,,,,,,,,,,0.1,0.4,1.1,2.7,4.9,6.9,8,8.3,8.1,7.8,7.2,6.6,6.1,5.6,5.1,4.5,3.9,3.3,2.8,2.2,1.6,1.1,0.7,0.4,0.3,0.1,0.1,0,0,0,,,,,,,,,
infection-to-death_85-95,,,,,,,,,,,,0.1,0.4,1.1,2.7,5.1,7.4,8.8,9.4,9.4,9.1,8.4,7.7,6.8,5.9,5,4,3,2.1,1.4,0.9,0.5,0.3,0.2,0.1,0.1,0,0,,,,,,,,,,,,,
infection-to-infection-to-death_85-95,,,,,,,,,,,,,,,0.1,0.4,1.1,2.7,5.1,7.4,8.8,9.4,9.4,9.1,8.4,7.7,6.8,5.9,5,4,3,2.1,1.4,0.9,0.5,0.3,0.2,0.1,0.1,0,0,,,,,,,,,,
infection-to-infection-to-death_85-95_simple,,,,,,,,,,,,,,,0.1,0.4,1.1,2.7,5.1,7.4,8.8,9.4,9.4,9.1,8.4,7.7,6.8,5.9,5,4,3,2.1,1.4,0.9,0.5,0.3,0.2,0.1,0.1,0,0,,,,,,,,,,
infection-to-symptom,,,1.2,9.3,18.5,20.5,16.5,12.5,8,5.5,3,2,1.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-death_65-75,,,,,,,,,,,,1,2,4,13,12,10,8.5,7,6.5,6,5.5,5,4.5,4,3.5,2.5,2,1.5,1,0.5,,,,,,,,,,,,,,,,,,,,
symptom-to-death_85-95,,,,,,,,,1,2,4,13,14,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-ICU,,,,,1,2,4,13,14,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-ICU,,,,,,,,0.1,0.4,1.1,2.7,5.1,7.4,8.8,9.4,9.4,9.1,8.4,7.7,6.8,5.9,5,4,3,2.1,1.4,0.9,0.5,0.3,0.2,0.1,0.1,0,0,,,,,,,,,,,,,,,,,
