date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
infection-to-infection,,,0.012,0.105,0.29,0.495,0.66,0.785,0.865,0.92,0.95,0.97,0.985,0.995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-death_65-75,,,,,,,,,,,,,,,0.00129,0.00548,0.01651,0.04319,0.09235,0.16136,0.24134,0.32464,0.40612,0.4838,0.55575,0.6218,0.68293,0.73941,0.79041,0.83529,0.87424,0.90762,0.93545,0.95725,0.9729,0.9835,0.9903,0.9945,0.997,0.99845,0.9993,0.99975,0.99995,1,,,,,,,
infection-to-death_75-85,,,,,,,,,,,,,0.00129,0.00548,0.01651,0.04319,0.09235,0.16136,0.24134,0.32464,0.40612,0.4838,0.55575,0.6218,0.68293,0.73941,0.79041,0.83529,0.87424,0.90762,0.93545,0.95725,0.9729,0.9835,0.9903,0.9945,0.997,0.99845,0.9993,0.99975,0.99995,1,,,,,,,,,
infection-to-death_85-95,,,,,,,,,,,,0.00129,0.00548,0.01651,0.04343,0.09457,0.16845,0.25648,0.35081,0.44529,0.53612,0.6206,0.69733,0.76576,0.82524,0.87512,0.9149,0.9447,0.96555,0.9793,0.988,0.9933,0.99645,0.99825,0.99925,0.99975,0.99995,1,,,,,,,,,,,,,
infection-to-infection-to-death_85-95,,,,,,,,,,,,,,,0.00129,0.00548,0.01651,0.04343,0.09457,0.16845,0.25648,0.35081,0.44529,0.53612,0.6206,0.69733,0.76576,0.82524,0.87512,0.9149,0.9447,0.96555,0.9793,0.988,0.9933,0.99645,0.99825,0.99925,0.99975,0.99995,1,,,,,,,,,,
infection-to-infection-to-death_85-95_simple,,,,,,,,,,,,,,,0.00129,0.00548,0.01651,0.04343,0.09457,0.16845,0.25648,0.35081,0.44529,0.53612,0.6206,0.69733,0.76576,0.82524,0.87512,0.9149,0.9447,0.96555,0.9793,0.988,0.9933,0.99645,0.99825,0.99925,0.99975,0.99995,1,,,,,,,,,,
infection-to-symptom,,,0.012,0.105,0.29,0.495,0.66,0.785,0.865,0.92,0.95,0.97,0.985,0.995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-death_65-75,,,,,,,,,,,,0.01,0.03,0.07,0.2,0.32,0.42,0.505,0.575,0.64,0.7,0.755,0.805,0.85,0.89,0.925,0.95,0.97,0.985,0.995,1,,,,,,,,,,,,,,,,,,,,
symptom-to-death_85-95,,,,,,,,,0.01,0.03,0.07,0.2,0.34,0.45,0.55,0.64,0.72,0.79,0.85,0.9,0.94,0.97,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-ICU,,,,,0.01,0.03,0.07,0.2,0.34,0.45,0.55,0.64,0.72,0.79,0.85,0.9,0.94,0.97,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-ICU,,,,,,,,0.00129,0.00548,0.01651,0.04343,0.09457,0.16845,0.25648,0.35081,0.44529,0.53612,0.6206,0.69733,0.76576,0.82524,0.87512,0.9149,0.9447,0.96555,0.9793,0.988,0.9933,0.99645,0.99825,0.99925,0.99975,0.99995,1,,,,,,,,,,,,,,,,,
