date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
infection-to-infection,,,1.2,10.5,29,49.5,66,78.5,86.5,92,95,97,98.5,99.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-death_65-75,,,,,,,,,,,,,,,0.1,0.5,1.7,4.3,9.2,16.1,24.1,32.5,40.6,48.4,55.6,62.2,68.3,73.9,79,83.5,87.4,90.8,93.5,95.7,97.3,98.4,99,99.5,99.7,99.8,99.9,100,100,100,,,,,,,
infection-to-death_75-85,,,,,,,,,,,,,0.1,0.5,1.7,4.3,9.2,16.1,24.1,32.5,40.6,48.4,55.6,62.2,68.3,73.9,79,83.5,87.4,90.8,93.5,95.7,97.3,98.4,99,99.5,99.7,99.8,99.9,100,100,100,,,,,,,,,
infection-to-death_85-95,,,,,,,,,,,,0.1,0.5,1.7,4.3,9.5,16.8,25.6,35.1,44.5,53.6,62.1,69.7,76.6,82.5,87.5,91.5,94.5,96.6,97.9,98.8,99.3,99.6,99.8,99.9,100,100,100,,,,,,,,,,,,,
infection-to-infection-to-death_85-95,,,,,,,,,,,,,,,0.1,0.5,1.7,4.3,9.5,16.8,25.6,35.1,44.5,53.6,62.1,69.7,76.6,82.5,87.5,91.5,94.5,96.6,97.9,98.8,99.3,99.6,99.8,99.9,100,100,100,,,,,,,,,,
infection-to-infection-to-death_85-95_simple,,,,,,,,,,,,,,,0.1,0.5,1.7,4.3,9.5,16.8,25.6,35.1,44.5,53.6,62.1,69.7,76.6,82.5,87.5,91.5,94.5,96.6,97.9,98.8,99.3,99.6,99.8,99.9,100,100,100,,,,,,,,,,
infection-to-symptom,,,1.2,10.5,29,49.5,66,78.5,86.5,92,95,97,98.5,99.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-death_65-75,,,,,,,,,,,,1,3,7,20,32,42,50.5,57.5,64,70,75.5,80.5,85,89,92.5,95,97,98.5,99.5,100,,,,,,,,,,,,,,,,,,,,
symptom-to-death_85-95,,,,,,,,,1,3,7,20,34,45,55,64,72,79,85,90,94,97,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptom-to-ICU,,,,,1,3,7,20,34,45,55,64,72,79,85,90,94,97,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infection-to-ICU,,,,,,,,0.1,0.5,1.7,4.3,9.5,16.8,25.6,35.1,44.5,53.6,62.1,69.7,76.6,82.5,87.5,91.5,94.5,96.6,97.9,98.8,99.3,99.6,99.8,99.9,100,100,100,,,,,,,,,,,,,,,,,
