ISO,name,population,km2,code
IT-ABR,Abruzzo,1331749,10763,1
IT-PUG,Apulia,4082840,19358,2
IT-BAS,Basilicata,575993,9995,3
IT-CAL,Calabria,1977148,15081,4
IT-CAM,Campania,5869029,13590,5
IT-EMR,Emilia-Romagna,4450541,22446,6
IT-FVG,Friuli-Venezia Giulia,1227625,7858,7
IT-LAZ,Lazio,5892866,17236,8
IT-LIG,Liguria,1589649,5422,9
IT-LOM,Lombardia,10001496,23861,10
IT-MAR,Marche,1549507,9366,11
IT-MOL,Molise,313278,4438,12
IT-PMN,Piemonte,4425194,25402,13
IT-SAR,Sardinia,1661630,24100,14
IT-SIC,Sicilia,5088889,25711,15
IT-TOS,Toscana,3752414,22994,16
IT-TAA,Trentino-Alto Adige,1055649,13607,17
IT-UMB,Umbria,895259,8456,18
IT-VAO,Valle d'Aosta,128210,3263,19
IT-VEN,Veneto,4928503,18399,20
IT,Italia,60797469,301340,0
