ISO,value
AT,6
BE,60
BG,0
HR,0
CY,0
CZ,2
DK,7
EE,0
FI,3
FR,34
DE,7
GR,1
HU,3
IE,22
IT,44
LV,0
LT,0
LU,0
MT,0
NL,26
PL,1
PT,9
RO,3
SK,0
SI,0
ES,49
SE,21
CH,19
GB,30
ES-AN,13
ES-AR,54
ES-AS,23
ES-IB,15
ES-CN,6
ES-CB,31
ES-CM,113
ES-CL,68
ES-CT,72
ES-VC,23
ES-EX,39
ES-GA,14
ES-MD,118
ES-MC,8
ES-NC,66
ES-PV,55
ES-RI,98
IT-ABR,22
IT-PUG,10
IT-BAS,4
IT-CAL,4
IT-CAM,6
IT-EMR,75
IT-FVG,21
IT-LAZ,7
IT-LIG,69
IT-LOM,133
IT-MAR,56
IT-MOL,7
IT-PMN,63
IT-SAR,6
IT-SIC,4
IT-TOS,20
IT-TAA,38
IT-UMB,7
IT-VAO,101
IT-VEN,26
FR-ARA,15
FR-BFC,28
FR-BRE,6
FR-CVL,13
FR-COR,14
FR-GES,49
FR-HDF,21
FR-IDF,44
FR-NOR,9
FR-NAQ,5
FR-OCC,6
FR-PDL,8
FR-PAC,12
