ISO,25/04/20
AT,536
BE,3148
BG,55
HR,54
CY,14
CZ,218
DK,418
EE,46
FI,186
FR,14157
DE,5750
GR,130
HU,262
IE,1063
IT,26384
LV,12
LT,41
LU,85
MT,4
NL,4409
PL,524
PT,880
RO,601
SK,17
SI,81
ES,23190
SE,2192
CH,1599
GB,21092
ES-AN,1145
ES-AR,712
ES-AS,249
ES-IB,175
ES-CN,131
ES-CB,183
ES-CM,2330
ES-CL,1666
ES-CT,4566
ES-VC,1186
ES-EX,422
ES-GA,394
ES-MD,7922
ES-MC,127
ES-NC,431
ES-PV,1230
ES-RI,315
ES-CE,4
ES-ML,2
IT-ABR,293
IT-PUG,391
IT-BAS,25
IT-CAL,80
IT-CAM,341
IT-EMR,3347
IT-FVG,263
IT-LAZ,387
IT-LIG,1093
IT-LOM,13269
IT-MAR,874
IT-MOL,21
IT-PMN,2767
IT-SAR,103
IT-SIC,224
IT-TOS,760
IT-TAA,400
IT-UMB,63
IT-VAO,130
IT-VEN,1288
FR-ARA,1226
FR-BFC,797
FR-BRE,203
FR-CVL,355
FR-COR,50
FR-GES,2737
FR-HDF,1291
FR-IDF,5578
FR-NOR,319
FR-NAQ,294
FR-OCC,362
FR-PDL,314
FR-PAC,631
GB-ENG,18748
GB-SCT,1249
GB-WLS,796
GB-NIR,299
DE-BW,1249
DE-BY,1621
DE-BE,125
DE-BB,100
DE-HB,27
DE-HH,142
DE-HE,320
DE-MV,16
DE-NI,391
DE-NW,1131
DE-RP,152
DE-SL,121
DE-SN,147
DE-ST,36
DE-SH,98
DE-TH,74
