ISO,2020-04-27
AT,549
BE,3283
BG,58
HR,59
CY,15
CZ,223
DK,427
EE,50
FI,193
FR,14497
DE,5913
GR,136
HU,280
IE,1102
IT,26707
LV,13
LT,41
LU,88
MT,4
NL,4518
PL,562
PT,928
RO,641
SK,18
SI,83
ES,24507
SE,2274
CH,1665
GB,21092
BE-BRU,580
BE-VLG,1491
BE-WAL,1212
ES-AN,1157
ES-AR,726
ES-AS,253
ES-IB,179
ES-CN,131
ES-CB,186
ES-CM,2365
ES-CL,1690
ES-CT,5685
ES-VC,1189
ES-EX,428
ES-GA,405
ES-MD,7986
ES-MC,128
ES-NC,432
ES-PV,1241
ES-RI,320
ES-CE,4
ES-ML,2
IT-ABR,299
IT-PUG,405
IT-BAS,25
IT-CAL,83
IT-CAM,352
IT-EMR,3431
IT-FVG,271
IT-LAZ,397
IT-LIG,1128
IT-LOM,13449
IT-MAR,884
IT-MOL,21
IT-PMN,2878
IT-SAR,109
IT-SIC,231
IT-TOS,795
IT-TAA,407
IT-UMB,65
IT-VAO,133
IT-VEN,1344
FR-ARA,1255
FR-BFC,814
FR-BRE,204
FR-CVL,367
FR-COR,50
FR-GES,2779
FR-HDF,1315
FR-IDF,5690
FR-NOR,324
FR-NAQ,301
FR-OCC,373
FR-PDL,323
FR-PAC,656
GB-SCT,1249
GB-WLS,796
GB-NIR,299
GB-ENG,18748
GB-ENG-H,2244
GB-ENG-I,4877
GB-ENG-FG,3871
GB-ENG-CE,2601
GB-ENG-D,2893
GB-ENG-J,2267
GB-ENG-K,891
DE-BW,1269
DE-BY,1681
DE-BE,127
DE-BB,106
DE-HB,27
DE-HH,142
DE-HE,333
DE-MV,17
DE-NI,394
DE-NW,1171
DE-RP,157
DE-SL,123
DE-SN,148
DE-ST,39
DE-SH,101
DE-TH,78
