ISO,name,population,km2,code
GB,United Kingdom,66435550,242749,0
GB-SCT,Scotland,5438100,77911,2
GB-WLS,Wales,3138631,20736,3
GB-NIR,Northern Ireland,1881641,13793,4
GB-ENG,England,55977178,130309,1
GB-ENG-H,East Of England,6201214,19120,11
GB-ENG-I,London,8908081,1572,12
GB-ENG-FG,Midlands,10704906,28627,134
GB-ENG-CE,North East And Yorkshire,8137524,24012,156
GB-ENG-D,North West,7292093,14165,17
GB-ENG-J,South East,9133625,19095,18
GB-ENG-K,South West,5599735,23829,19
GB-ENG-F,East Midlands,4804149,15627,13
GB-ENG-G,West Midlands,5900757,13000,14
GB-ENG-C,North East,2657909,8592,15
GB-ENG-E,Yorkshire,5479615,15420,16
