ISO,name,population,km2,code
ES,Spain,47026208,505370,0
ES-AN,Andalucía,8414240,87599,1
ES-AR,Aragón,1319291,47720,2
ES-AS,Asturias,1022800,10604,3
ES-IB,Baleares,1149460,4992,4
ES-CN,Canarias,2153389,7447,5
ES-CB,Cantabria,581078,5321,6
ES-CM,Castilla-La Mancha,2032863,79461,8
ES-CL,Castilla y León,2399548,94224,7
ES-CT,Cataluña,7675217,32113,9
ES-VC,C. Valenciana,5003769,23255,10
ES-EX,Extremadura,1067710,41634,11
ES-GA,Galicia,2699499,29575,12
ES-MD,Madrid,6663394,8028,13
ES-MC,Murcia,1493898,11314,14
ES-NC,Navarra,654214,10391,15
ES-PV,País Vasco,2207776,7234,16
ES-RI,La Rioja,316798,5045,17
ES-CE,Ceuta,84777,18,18
ES-ML,Melilla,86487,12,19
