ISO,name,population,km2,source
EU,European Union,447206135,4233262,
AT,Austria,8858775,83855,
BE,Belgium,11467923,30528,
BG,Bulgaria,7000039,110994,
HR,Croatia,4076246,56594,
CY,Cyprus,875898,9251,
CZ,Czechia,10649800,78866,
DK,Denmark,5806081,43075,
EE,Estonia,1324820,45227,
FI,Finland,5517919,338424,
FR,France,67028048,632833,
DE,Germany,83019214,357386,
GR,Greece,10722287,131990,
HU,Hungary,9797561,93030,
IE,Ireland,4904226,70273,
IT,Italy,60359546,301338,
LV,Latvia,1919968,64589,
LT,Lithuania,2794184,65200,
LU,Luxembourg,613894,2586,
MT,Malta,493559,316,
NL,Netherlands,17282163,41543,
PL,Poland,37972812,312685,
PT,Portugal,10276617,92212,
RO,Romania,19401658,238391,
SK,Slovakia,5450421,49035,
SI,Slovenia,2080908,20273,
ES,Spain,46934632,504030,
SE,Sweden,10230185,449964,
CH,Switzerland,8570146,41285,
GB,United Kingdom,67886004,242495,
