ISO,26/04/20,27/04/20,,,,,,,,,,,,,,,,,,
IT,26384,26707,,,,,,,,,,,,,,,,,,
IT-ABR,293,299,,IT-ABR,Abruzzo,,Abruzzo,,,,,,,,,,,,,
IT-PUG,391,405,,IT-PUG,Apulia,,Basilicata,,,,,,,,,,,,,
IT-BAS,25,25,,IT-BAS,Basilicata,,Calabria,,,,,,,,,,,,,
IT-CAL,80,83,,IT-CAL,Calabria,,Campania,,,,,,,,,,,,,
IT-CAM,341,352,,IT-CAM,Campania,,Emilia-Romagna,,,,,,,,,,,,,
IT-EMR,3347,3431,,IT-EMR,Emilia-Romagna,,Friuli Venezia Giulia,,,,,,,,,,,,,
IT-FVG,263,271,,IT-FVG,Friuli-Venezia Giulia,,Lazio,,,,,,,,,,,,,
IT-LAZ,387,397,,IT-LAZ,Lazio,,Liguria,,,,,,,,,,,,,
IT-LIG,1093,1128,,IT-LIG,Liguria,,Lombardia,,,,,,,,,,,,,
IT-LOM,13269,13449,,IT-LOM,Lombardia,,Marche,,,,,,,,,,,,,
IT-MAR,874,884,,IT-MAR,Marche,,Molise,,,,,,,,,,,,,
IT-MOL,21,21,,IT-MOL,Molise,,Piemonte,,,,,,,,,,,,,
IT-PMN,2767,2878,,IT-PMN,Piemonte,,Puglia,,,,,,,,,,,,,
IT-SAR,103,109,,IT-SAR,Sardinia,,Sardegna,,,,,,,,,,,,,
IT-SIC,224,231,,IT-SIC,Sicilia,,Sicilia,,,,,,,,,,,,,
IT-TOS,760,795,,IT-TOS,Toscana,,Toscana,,,,,,,,,,,,,
IT-TAA,400,407,,IT-TAA,Trentino-Alto Adige,,P.A. Trento,,,,,,,,,,,,,
IT-UMB,63,65,,IT-UMB,Umbria,,Umbria,,,,,,,,,,,,,
IT-VAO,130,133,,IT-VAO,Valle d'Aosta,,Valle d'Aosta,,,,,,,,,,,,,
IT-VEN,1288,1344,,IT-VEN,Veneto,,Veneto,,,,,,,,,,,,,
,,,,,,,P.A. Bolzano,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,P.A. Trento,Umbria,Valle d'Aosta,Veneto,P.A. Bolzano
