country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
AT,28,30,49,58,68,86,108,128,146,158,168,186,204,220,243,273,295,319,337,350,368,384,393,410,431,443,452,470,491
BE,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283,1447,1632,2035,2240,2523,3019,3346,3600,3903,4157,4440,4857,5163
BG,28,29,32,35,36,38,41,41,42,43,45,49,52,54,55,56,58,,,,,,,,,,,,
HR,31,33,35,36,39,47,47,48,48,50,51,54,55,59,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,31,39,44,53,59,67,78,88,99,112,119,129,138,143,161,166,169,173,181,186,194,201,208,210,214,218,220,223,
DK,32,34,41,52,65,72,77,90,104,123,139,161,179,187,203,218,237,247,260,273,285,299,309,321,336,346,355,364,370
EE,28,31,35,36,38,38,40,40,43,44,45,46,46,49,50,,,,,,,,,,,,,,
FI,28,27,34,40,42,48,49,56,59,64,72,75,82,90,94,98,141,149,172,177,186,190,193,,,,,,
FR,30,33,48,61,79,91,127,148,175,244,372,450,562,674,860,1100,1331,1696,1995,2314,2606,3024,3523,4032,5387,6507,7560,8078,8911
DE,28,44,67,84,94,123,157,206,267,342,433,533,645,775,920,1107,1275,1444,1584,1810,2016,2349,2607,2767,2736,3022,3194,3294,3804
GR,27,28,32,39,46,49,51,53,63,68,73,79,81,83,87,92,93,98,99,101,102,105,108,110,113,116,121,121,125
HU,32,34,38,47,58,66,77,85,99,109,122,134,142,156,172,189,199,213,225,239,262,262,272,280,,,,,
IE,36,46,54,71,85,98,120,137,158,174,210,235,263,287,320,334,365,406,444,486,530,571,610,687,730,769,794,1014,1063
IT,29,41,52,79,107,148,197,233,366,463,631,827,1016,1266,1441,1809,2158,2503,2978,3405,4032,4825,5476,6077,6820,7503,8215,9134,10023
LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,29,30,32,33,33,35,37,38,38,40,40,41,41,41,,,,,,,,,,,,,,,
LU,29,30,31,31,36,41,44,46,52,54,62,66,69,67,69,69,72,72,73,75,78,80,83,85,85,88,88,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,43,58,76,106,136,179,213,276,356,434,546,639,771,864,1039,1173,1339,1487,1651,1766,1867,2101,2248,2396,2511,2643,2737,2823,2945
PL,31,33,43,57,71,79,94,107,129,159,174,181,208,232,245,263,286,314,332,347,360,380,401,426,454,494,524,535,562
PT,33,43,60,76,100,119,140,160,187,209,246,266,295,311,345,380,409,435,470,504,535,567,599,629,657,687,714,735,762
RO,37,43,65,82,92,115,133,146,151,176,197,220,248,270,291,316,331,351,372,392,411,421,451,478,498,524,545,567,601
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,28,30,36,40,43,45,50,53,55,56,61,61,66,70,74,77,77,79,79,80,81,82,83,,,,,,
ES,28,35,54,84,133,195,289,342,533,623,830,1043,1375,1772,2311,2808,3647,4365,5138,5982,6803,7716,8464,9387,10348,11198,11947,12641,13341
SE,27,40,62,77,105,105,110,146,180,239,308,358,373,401,477,591,687,793,870,887,899,919,1033,1203,1333,1400,1511,1540,1580
CH,27,33,43,56,80,98,120,122,153,191,231,264,300,359,433,488,536,591,666,715,765,821,895,948,1002,1036,1106,1138,1174
GB,35,55,71,104,144,177,233,281,335,422,465,578,759,1019,1228,1408,1789,2352,2921,3605,4313,4934,5373,6159,7097,7978,8958,9875,10612
