country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AT,0,7.1,63.3,18.4,17.2,26.5,25.6,18.5,14.1,8.2,6.3,10.7,9.7,7.8,10.5,12.3
BE,0,81.1,11.9,17.3,38.6,45.9,23.6,31.4,22.1,22.1,19,37.4,17.4,22.1,13.1,12.2
BG,0,3.6,10.3,9.4,2.9,5.6,7.9,0,2.4,2.4,4.7,8.9,6.1,3.8,1.9,1.8
HR,0,6.5,6.1,2.9,8.3,20.5,0,2.1,0,4.2,2,5.9,1.9,7.3,,
CY,0,,,,,,,,,,,,,,,
CZ,0,25.8,12.8,20.5,11.3,13.6,16.4,12.8,12.5,13.1,6.3,8.4,7,3.6,12.6,3.1
DK,0,6.3,20.6,26.8,25,10.8,6.9,16.9,15.6,18.3,13,15.8,11.2,4.5,8.6,7.4
EE,0,10.7,12.9,2.9,5.6,0,5.3,0,7.5,2.3,2.3,2.2,0,6.5,2,
FI,0,-3.6,25.9,17.6,5,14.3,2.1,14.3,5.4,8.5,12.5,4.2,9.3,9.8,4.4,4.3
FR,0,10,45.5,27.1,29.5,15.2,39.6,16.5,18.2,39.4,52.5,21,24.9,19.9,27.6,27.9
DE,0,57.1,52.3,25.4,11.9,30.9,27.6,31.2,29.6,28.1,26.6,23.1,21,20.2,18.7,20.3
GR,0,3.7,14.3,21.9,17.9,6.5,4.1,3.9,18.9,7.9,7.4,8.2,2.5,2.5,4.8,5.7
HU,0,6.3,11.8,23.7,23.4,13.8,16.7,10.4,16.5,10.1,11.9,9.8,6,9.9,10.3,9.9
IE,0,27.8,17.4,31.5,19.7,15.3,22.4,14.2,15.3,10.1,20.7,11.9,11.9,9.1,11.5,4.4
IT,0,41.4,26.8,51.9,35.4,38.3,33.1,18.3,57.1,26.5,36.3,31.1,22.9,24.6,13.8,25.5
LV,0,,,,,,,,,,,,,,,
LT,0,3.4,6.7,3.1,0,6.1,5.7,2.7,0,5.3,0,2.5,0,0,,
LU,0,3.4,3.3,0,16.1,13.9,7.3,4.5,13,3.8,14.8,6.5,4.5,-2.9,3,0
MT,0,,,,,,,,,,,,,,,
NL,0,34.9,31,39.5,28.3,31.6,19,29.6,29,21.9,25.8,17,20.7,12.1,20.3,12.9
PL,0,6.5,30.3,32.6,24.6,11.3,19,13.8,20.6,23.3,9.4,4,14.9,11.5,5.6,7.3
PT,0,30.3,39.5,26.7,31.6,19,17.6,14.3,16.9,11.8,17.7,8.1,10.9,5.4,10.9,10.1
RO,0,16.2,51.2,26.2,12.2,25,15.7,9.8,3.4,16.6,11.9,11.7,12.7,8.9,7.8,8.6
SK,0,,,,,,,,,,,,,,,
SI,0,7.1,20,11.1,7.5,4.7,11.1,6,3.8,1.8,8.9,0,8.2,6.1,5.7,4.1
ES,0,25,54.3,55.6,58.3,46.6,48.2,18.3,55.8,16.9,33.2,25.7,31.8,28.9,30.4,21.5
SE,0,48.1,55,24.2,36.4,0,4.8,32.7,23.3,32.8,28.9,16.2,4.2,7.5,19,23.9
CH,0,22.2,30.3,30.2,42.9,22.5,22.4,1.7,25.4,24.8,20.9,14.3,13.6,19.7,20.6,12.7
