country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Algeria,19,21,25,26,29,31,35,44,58,86,105,130,152,173,193,205,235,256,275,293,313,326,336,348,364,367,375,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,18,19,23,27,28,36,39,43,44,48,56,63,72,82,83,90,97,102,111,115,123,129,132,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,6,6,8,16,21,28,30,49,58,68,86,108,128,146,158,168,186,204,220,243,273,295,319,337,350,368,384,393,410,431,443,452,470,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,17,20,21,27,30,34,39,46,50,60,75,84,91,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283,1447,1632,2035,2240,2523,3019,3346,3600,3903,4157,4440,4857,5163,5453,5683,5828,,,,,,,,,,,,,,,,,,,
Brazil,1,3,6,11,15,25,34,46,59,77,92,111,136,159,201,240,324,359,445,486,564,686,819,950,1057,1124,1223,1328,1532,1736,1924,2141,2354,2462,2587,,,,,,,,,,,,,,,,,,,,,,
Canada-Ontario,13,18,18,21,31,33,37,53,67,94,119,150,153,153,200,222,253,274,291,334,385,490,524,564,591,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada-Quebec,18,22,22,25,31,33,36,61,75,94,121,150,175,216,241,289,328,360,435,487,630,688,688,820,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,12,16,18,22,27,34,37,43,48,57,65,73,80,82,92,94,105,116,126,133,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China-Hubei,,,,,17,17,24,40,52,76,125,125,162,204,249,350,414,479,549,618,699,780,871,974,1068,1068,1310,1457,1596,1696,1789,1921,2029,2144,2144,2346,2346,2495,2563,2615,2641,2682,2727,2761,2803,2835,2871,2902,2931,2959,2986,3008,3024,3046,3056,3062,3075
Colombia,12,16,17,19,25,32,35,46,50,54,69,80,100,109,112,127,131,144,153,153,179,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,9,9,11,16,23,31,39,44,53,59,67,78,88,99,112,119,129,138,143,161,166,169,173,181,186,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,6,9,13,13,24,32,34,41,52,65,72,77,90,104,123,139,161,179,187,203,218,237,247,260,273,285,299,309,321,336,346,355,364,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,3,6,10,10,20,28,39,42,51,57,60,68,68,82,86,98,108,118,126,135,173,177,183,189,196,200,217,226,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,7,14,18,27,28,34,36,48,58,60,75,93,120,145,172,180,191,191,242,272,297,315,333,355,369,388,403,421,456,474,507,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,14,19,20,21,24,30,36,40,41,46,52,58,66,71,78,85,94,103,118,135,146,159,164,178,183,196,205,224,239,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,17,19,20,25,28,27,34,40,42,48,49,56,59,64,72,75,82,90,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,4,6,9,11,19,30,33,48,61,79,91,127,148,175,244,372,450,562,674,860,1100,1331,1696,1995,2314,2606,3024,3523,4032,5387,6507,7560,8078,8911,10328,10869,12210,13197,13832,14393,14967,15729,17167,17920,18681,19323,19718,20265,,,,,,,,,
Germany,3,7,9,11,17,24,28,44,67,84,94,123,157,206,267,342,433,533,645,775,920,1107,1275,1444,1584,1810,2016,2349,2607,2767,2736,3022,3194,3294,3804,4052,4352,4459,4586,4862,,,,,,,,,,,,,,,,,
Greece,17,20,22,27,28,32,39,46,49,51,53,63,68,73,79,81,83,87,92,93,98,99,101,102,105,108,110,113,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,16,20,21,26,32,34,38,47,58,66,77,85,99,109,122,134,142,156,172,189,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,12,20,20,24,27,32,35,58,72,72,86,99,136,150,178,226,246,288,331,358,393,405,448,486,521,559,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,5,5,7,19,25,32,38,48,49,55,58,78,87,102,114,122,136,157,170,181,191,198,209,221,240,280,306,327,373,399,459,469,496,520,535,582,590,,,,,,,,,,,,,,,,,,,,
