name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Algeria,0,28.6,22.2,36.4,13.3,0,11.8,10.5,19,4,11.5,6.9,12.9,25.7,31.8,48.3,22.1,23.8,16.9,13.8,11.6,6.2,14.6,8.9,7.4,6.5,6.8,4.2,3.1,3.6,4.6,0.8,2.2,2.4,2.1,2.6,1.2,2,1,1.4,1.6,1.2,1.6,1.4,,,,,,,,,,,,,
Argentina,0,33.3,12.5,44.4,38.5,5.6,21.1,17.4,3.7,28.6,8.3,10.3,2.3,9.1,16.7,12.5,14.3,13.9,1.2,8.4,7.8,5.2,8.8,3.6,7,4.9,2.3,3,8.1,3.4,8.6,6.7,5.1,3.8,2.6,5.1,3.4,1.9,,,,,,,,,,,,,,,,,,,
Austria,0,0,33.3,100,31.3,33.3,7.1,63.3,18.4,17.2,26.5,25.6,18.5,14.1,8.2,6.3,10.7,9.7,7.8,10.5,12.3,8.1,8.1,5.6,3.9,5.1,4.3,2.3,4.3,5.1,2.8,2,4,4.5,3.9,2.4,1.5,1.1,1.1,1.3,3.6,1.9,0.7,,,,,,,,,,,,,,
Bangladesh,0,0,0,33.3,12.5,33.3,41.7,17.6,5,28.6,11.1,13.3,14.7,17.9,8.7,20,25,12,8.3,11,8.9,9.1,5.8,3.1,6.9,3.6,4.8,2,5.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0,40,50,76.2,81.1,11.9,17.3,38.6,45.9,23.6,31.4,22.1,22.1,19,37.4,17.4,22.1,13.1,12.2,12.8,12.8,24.7,10.1,12.6,19.7,10.8,7.6,8.4,6.5,6.8,9.4,6.3,5.6,4.2,2.6,2.9,4.4,3.6,2.9,3.6,2.6,1.6,1.7,2.3,1.2,,,,,,,,,,,,
Brazil,0,83.3,36.4,66.7,36,35.3,28.3,30.5,19.5,20.7,22.5,16.9,26.4,19.4,35,10.8,24,9.2,16,21.6,19.4,16,11.3,6.3,8.8,8.6,15.4,13.3,10.8,11.3,9.9,4.6,5.1,6,6,14.6,11.2,9.5,5.6,7.4,10.4,8.5,8.9,,,,,,,,,,,,,,
Canada-Ontario,0,16.7,14.3,62.5,38.5,0,16.7,47.6,6.5,12.1,43.2,26.4,40.3,26.6,26.1,2,0,30.7,11,14,8.3,6.2,14.8,15.3,27.3,6.9,7.6,4.8,5.6,11.2,9.8,5.8,6.9,6.3,4.8,6.6,4.8,7.6,4.5,,,,,,,,,,,,,,,,,,
Canada-Quebec,0,33.3,125,22.2,0,13.6,24,6.5,9.1,69.4,23,25.3,28.7,24,16.7,23.4,11.6,19.9,13.5,9.8,20.8,12,29.4,9.2,0,19.2,14.5,11.2,8.6,9.6,7.8,7.9,4.8,5.5,5.2,4.7,5.5,,,,,,,,,,,,,,,,,,,,
Chile,0,16.7,14.3,50,33.3,12.5,22.2,22.7,25.9,8.8,16.2,11.6,18.8,14,12.3,9.6,2.5,12.2,2.2,11.7,10.5,8.6,5.6,4.5,5.8,8.8,5,3.6,4,4.4,4.8,4.5,4.3,5.1,,,,,,,,,,,,,,,,,,,,,,,
China-Hubei,0,0,41.2,66.7,30,46.2,64.5,0,29.6,25.9,22.1,40.6,18.3,15.7,14.6,12.6,13.1,11.6,11.7,11.8,9.7,0,22.7,11.2,9.5,6.3,5.5,7.4,5.6,5.7,0,9.4,0,6.4,2.7,2,1,1.6,1.7,1.2,1.5,1.1,1.3,1.1,1,1,0.9,0.7,0.5,0.7,0.3,0.2,0.4,0.3,0.5,0.4,0.4
